earth_date_time,mars_date_time,sol_number,max_ground_temp(°C),min_ground_temp(°C),max_air_temp(°C),min_air_temp(°C),mean_pressure(Pa),wind_speed(m/h),humidity(%),sunrise,sunset,UV_Radiation,weather
"Earth, 2019-10-31 UTC","Mars, Month 4 - LS 100°",Sol 2572,-22,-80,-5,-85,798,Value not available,Value not available,05:50,17:33,moderate,Sunny
"Earth, 2019-10-30 UTC","Mars, Month 4 - LS 99°",Sol 2571,-27,-79,-5,-87,800,Value not available,Value not available,05:50,17:33,moderate,Sunny
"Earth, 2019-10-29 UTC","Mars, Month 4 - LS 99°",Sol 2570,-28,-78,-9,-82,801,Value not available,Value not available,05:50,17:33,moderate,Sunny
"Earth, 2019-10-28 UTC","Mars, Month 4 - LS 98°",Sol 2569,-22,-78,-8,-80,803,Value not available,Value not available,05:50,17:33,moderate,Sunny
"Earth, 2019-10-27 UTC","Mars, Month 4 - LS 98°",Sol 2568,-28,-80,-8,-85,805,Value not available,Value not available,05:51,17:33,moderate,Sunny
"Earth, 2019-10-26 UTC","Mars, Month 4 - LS 98°",Sol 2567,-21,-79,-6,-83,806,Value not available,Value not available,05:51,17:33,moderate,Sunny
"Earth, 2019-10-25 UTC","Mars, Month 4 - LS 97°",Sol 2566,-27,-80,-7,-82,807,Value not available,Value not available,05:51,17:33,moderate,Sunny
"Earth, 2019-10-24 UTC","Mars, Month 4 - LS 97°",Sol 2565,-27,-79,-10,-92,808,Value not available,Value not available,05:51,17:34,moderate,Sunny
"Earth, 2019-10-23 UTC","Mars, Month 4 - LS 96°",Sol 2564,-31,-79,-10,-90,810,Value not available,Value not available,05:51,17:34,moderate,Sunny
"Earth, 2019-10-22 UTC","Mars, Month 4 - LS 96°",Sol 2563,-29,-78,-8,-83,811,Value not available,Value not available,05:51,17:34,moderate,Sunny
"Earth, 2019-10-21 UTC","Mars, Month 4 - LS 95°",Sol 2562,-29,-79,-10,-84,812,Value not available,Value not available,05:51,17:34,moderate,Sunny
"Earth, 2019-10-20 UTC","Mars, Month 4 - LS 95°",Sol 2561,-25,-79,-8,-84,814,Value not available,Value not available,05:52,17:34,moderate,Sunny
"Earth, 2019-10-19 UTC","Mars, Month 4 - LS 94°",Sol 2560,-26,-79,-8,-91,814,Value not available,Value not available,05:52,17:34,moderate,Sunny
"Earth, 2019-10-18 UTC","Mars, Month 4 - LS 94°",Sol 2559,-26,-79,-8,-89,816,Value not available,Value not available,05:52,17:34,moderate,Sunny
"Earth, 2019-10-17 UTC","Mars, Month 4 - LS 93°",Sol 2558,-29,-81,-9,-89,818,Value not available,Value not available,05:52,17:35,moderate,Sunny
"Earth, 2019-10-16 UTC","Mars, Month 4 - LS 93°",Sol 2557,-26,-82,-8,-90,819,Value not available,Value not available,05:52,17:35,moderate,Sunny
"Earth, 2019-10-15 UTC","Mars, Month 4 - LS 93°",Sol 2556,-28,-82,-6,-93,821,Value not available,Value not available,05:52,17:35,moderate,Sunny
"Earth, 2019-10-14 UTC","Mars, Month 4 - LS 92°",Sol 2555,-30,-81,-8,-88,822,Value not available,Value not available,05:52,17:35,moderate,Sunny
"Earth, 2019-10-13 UTC","Mars, Month 4 - LS 92°",Sol 2554,-27,-82,-7,-89,824,Value not available,Value not available,05:53,17:35,moderate,Sunny
"Earth, 2019-10-12 UTC","Mars, Month 4 - LS 91°",Sol 2553,-28,-82,-7,-88,824,Value not available,Value not available,05:53,17:35,moderate,Sunny
"Earth, 2019-10-11 UTC","Mars, Month 4 - LS 91°",Sol 2552,-30,-82,-6,-88,826,Value not available,Value not available,05:53,17:35,moderate,Sunny
"Earth, 2019-10-10 UTC","Mars, Month 4 - LS 90°",Sol 2551,-30,-82,-6,-89,828,Value not available,Value not available,05:53,17:35,moderate,Sunny
"Earth, 2019-10-09 UTC","Mars, Month 4 - LS 90°",Sol 2550,-31,-83,-5,-92,829,Value not available,Value not available,05:53,17:36,moderate,Sunny
"Earth, 2019-10-08 UTC","Mars, Month 3 - LS 89°",Sol 2549,-30,-82,-5,-88,830,Value not available,Value not available,05:53,17:36,moderate,Sunny
"Earth, 2019-10-07 UTC","Mars, Month 3 - LS 89°",Sol 2548,-28,-81,-7,-88,831,Value not available,Value not available,05:54,17:36,moderate,Sunny
"Earth, 2019-10-06 UTC","Mars, Month 3 - LS 88°",Sol 2547,-24,-82,-7,-90,832,Value not available,Value not available,05:54,17:36,moderate,Sunny
"Earth, 2019-10-05 UTC","Mars, Month 3 - LS 88°",Sol 2546,-31,-82,-8,-88,833,Value not available,Value not available,05:54,17:36,moderate,Sunny
"Earth, 2019-10-04 UTC","Mars, Month 3 - LS 88°",Sol 2545,-33,-81,-7,-90,835,Value not available,Value not available,05:54,17:36,moderate,Sunny
"Earth, 2019-10-03 UTC","Mars, Month 3 - LS 87°",Sol 2544,-30,-81,-7,-90,837,Value not available,Value not available,05:54,17:37,moderate,Sunny
"Earth, 2019-10-02 UTC","Mars, Month 3 - LS 87°",Sol 2543,-29,-82,-6,-87,837,Value not available,Value not available,05:54,17:37,moderate,Sunny
"Earth, 2019-09-30 UTC","Mars, Month 3 - LS 86°",Sol 2542,-26,-83,-8,-89,838,Value not available,Value not available,05:54,17:37,moderate,Sunny
"Earth, 2019-09-29 UTC","Mars, Month 3 - LS 86°",Sol 2541,-30,-81,-6,-89,839,Value not available,Value not available,05:55,17:37,moderate,Sunny
"Earth, 2019-09-28 UTC","Mars, Month 3 - LS 85°",Sol 2540,-30,-81,-6,-89,840,Value not available,Value not available,05:55,17:37,moderate,Sunny
"Earth, 2019-09-27 UTC","Mars, Month 3 - LS 85°",Sol 2539,-30,-81,-7,-91,842,Value not available,Value not available,05:55,17:37,moderate,Sunny
"Earth, 2019-09-26 UTC","Mars, Month 3 - LS 84°",Sol 2538,-28,-83,-6,-89,843,Value not available,Value not available,05:55,17:38,moderate,Sunny
"Earth, 2019-09-25 UTC","Mars, Month 3 - LS 84°",Sol 2537,-29,-80,-7,-89,843,Value not available,Value not available,05:55,17:38,moderate,Sunny
"Earth, 2019-09-24 UTC","Mars, Month 3 - LS 83°",Sol 2536,-30,-82,-7,-89,844,Value not available,Value not available,05:55,17:38,moderate,Sunny
"Earth, 2019-09-23 UTC","Mars, Month 3 - LS 83°",Sol 2535,-25,-82,-7,-89,845,Value not available,Value not available,05:56,17:38,moderate,Sunny
"Earth, 2019-09-22 UTC","Mars, Month 3 - LS 83°",Sol 2534,-29,-82,-6,-89,847,Value not available,Value not available,05:56,17:38,moderate,Sunny
"Earth, 2019-09-21 UTC","Mars, Month 3 - LS 82°",Sol 2533,-32,-83,-9,-89,847,Value not available,Value not available,05:56,17:38,moderate,Sunny
"Earth, 2019-09-20 UTC","Mars, Month 3 - LS 82°",Sol 2532,-31,-81,-6,-90,849,Value not available,Value not available,05:56,17:39,moderate,Sunny
"Earth, 2019-09-19 UTC","Mars, Month 3 - LS 81°",Sol 2531,-32,-81,-6,-88,850,Value not available,Value not available,05:56,17:39,moderate,Sunny
"Earth, 2019-09-18 UTC","Mars, Month 3 - LS 81°",Sol 2530,-27,-82,-7,-89,850,Value not available,Value not available,05:56,17:39,moderate,Sunny
"Earth, 2019-09-17 UTC","Mars, Month 3 - LS 80°",Sol 2529,-30,-81,-8,-88,851,Value not available,Value not available,05:56,17:39,moderate,Sunny
"Earth, 2019-09-16 UTC","Mars, Month 3 - LS 80°",Sol 2528,-28,-81,-6,-89,852,Value not available,Value not available,05:57,17:39,moderate,Sunny
"Earth, 2019-09-15 UTC","Mars, Month 3 - LS 79°",Sol 2527,-31,-83,-8,-89,854,Value not available,Value not available,05:57,17:40,moderate,Sunny
"Earth, 2019-09-14 UTC","Mars, Month 3 - LS 79°",Sol 2526,-29,-82,-6,-90,854,Value not available,Value not available,05:57,17:40,moderate,Sunny
"Earth, 2019-09-13 UTC","Mars, Month 3 - LS 79°",Sol 2525,-29,-83,-6,-90,855,Value not available,Value not available,05:57,17:40,moderate,Sunny
"Earth, 2019-09-12 UTC","Mars, Month 3 - LS 78°",Sol 2524,-31,-80,-7,-86,856,Value not available,Value not available,05:57,17:40,moderate,Sunny
"Earth, 2019-09-11 UTC","Mars, Month 3 - LS 78°",Sol 2523,-28,-82,-8,-88,857,Value not available,Value not available,05:57,17:40,moderate,Sunny
"Earth, 2019-09-10 UTC","Mars, Month 3 - LS 77°",Sol 2522,-32,-82,-8,-90,858,Value not available,Value not available,05:58,17:41,moderate,Sunny
"Earth, 2019-09-09 UTC","Mars, Month 3 - LS 77°",Sol 2521,-29,-80,-7,-90,859,Value not available,Value not available,05:58,17:41,moderate,Sunny
"Earth, 2019-09-08 UTC","Mars, Month 3 - LS 76°",Sol 2520,-32,-81,-7,-90,859,Value not available,Value not available,05:58,17:41,moderate,Sunny
"Earth, 2019-09-07 UTC","Mars, Month 3 - LS 76°",Sol 2519,-31,-82,-6,-88,859,Value not available,Value not available,05:58,17:41,moderate,Sunny
"Earth, 2019-09-06 UTC","Mars, Month 3 - LS 75°",Sol 2518,-26,-81,-7,-86,860,Value not available,Value not available,05:58,17:41,moderate,Sunny
"Earth, 2019-09-05 UTC","Mars, Month 3 - LS 75°",Sol 2517,-29,-82,-8,-88,862,Value not available,Value not available,05:59,17:42,moderate,Sunny
"Earth, 2019-09-04 UTC","Mars, Month 3 - LS 74°",Sol 2516,-31,-82,-8,-90,862,Value not available,Value not available,05:59,17:42,moderate,Sunny
"Earth, 2019-09-03 UTC","Mars, Month 3 - LS 74°",Sol 2515,-32,-81,-7,-89,864,Value not available,Value not available,05:59,17:42,moderate,Sunny
"Earth, 2019-09-02 UTC","Mars, Month 3 - LS 74°",Sol 2514,-29,-81,-7,-90,865,Value not available,Value not available,05:59,17:42,moderate,Sunny
"Earth, 2019-09-01 UTC","Mars, Month 3 - LS 73°",Sol 2513,-28,-81,-6,-86,864,Value not available,Value not available,05:59,17:42,moderate,Sunny
"Earth, 2019-08-31 UTC","Mars, Month 3 - LS 73°",Sol 2512,-28,-82,-6,-87,864,Value not available,Value not available,05:59,17:43,moderate,Sunny
"Earth, 2019-08-30 UTC","Mars, Month 3 - LS 72°",Sol 2511,-30,-81,-7,-89,865,Value not available,Value not available,06:00,17:43,moderate,Sunny
"Earth, 2019-08-29 UTC","Mars, Month 3 - LS 72°",Sol 2510,-33,-81,-7,-89,866,Value not available,Value not available,06:00,17:43,moderate,Sunny
"Earth, 2019-08-28 UTC","Mars, Month 3 - LS 71°",Sol 2509,-33,-82,-8,-89,867,Value not available,Value not available,06:00,17:43,moderate,Sunny
"Earth, 2019-08-27 UTC","Mars, Month 3 - LS 71°",Sol 2508,-33,-82,-7,-88,868,Value not available,Value not available,06:00,17:44,moderate,Sunny
"Earth, 2019-08-26 UTC","Mars, Month 3 - LS 70°",Sol 2507,-28,-82,-6,-87,869,Value not available,Value not available,06:00,17:44,moderate,Sunny
"Earth, 2019-08-24 UTC","Mars, Month 3 - LS 70°",Sol 2506,-31,-81,-8,-89,869,Value not available,Value not available,06:01,17:44,moderate,Sunny
"Earth, 2019-08-23 UTC","Mars, Month 3 - LS 70°",Sol 2505,-32,-81,-8,-89,870,Value not available,Value not available,06:01,17:44,moderate,Sunny
"Earth, 2019-08-22 UTC","Mars, Month 3 - LS 69°",Sol 2504,-33,-81,-8,-89,870,Value not available,Value not available,06:01,17:45,moderate,Sunny
"Earth, 2019-08-21 UTC","Mars, Month 3 - LS 69°",Sol 2503,-32,-81,-7,-89,870,Value not available,Value not available,06:01,17:45,moderate,Sunny
"Earth, 2019-08-20 UTC","Mars, Month 3 - LS 68°",Sol 2502,-31,-81,-8,-89,871,Value not available,Value not available,06:01,17:45,moderate,Sunny
"Earth, 2019-08-19 UTC","Mars, Month 3 - LS 68°",Sol 2501,-27,-81,-7,-88,871,Value not available,Value not available,06:02,17:45,moderate,Sunny
"Earth, 2019-08-18 UTC","Mars, Month 3 - LS 67°",Sol 2500,-30,-81,-6,-87,871,Value not available,Value not available,06:02,17:46,moderate,Sunny
"Earth, 2019-08-17 UTC","Mars, Month 3 - LS 67°",Sol 2499,-28,-82,-9,-88,871,Value not available,Value not available,06:02,17:46,moderate,Sunny
"Earth, 2019-08-16 UTC","Mars, Month 3 - LS 66°",Sol 2498,-33,-81,-8,-88,872,Value not available,Value not available,06:02,17:46,moderate,Sunny
"Earth, 2019-08-15 UTC","Mars, Month 3 - LS 66°",Sol 2497,-28,-82,-7,-89,873,Value not available,Value not available,06:02,17:46,moderate,Sunny
"Earth, 2019-08-14 UTC","Mars, Month 3 - LS 65°",Sol 2496,-29,-80,-7,-88,873,Value not available,Value not available,06:03,17:47,moderate,Sunny
"Earth, 2019-08-13 UTC","Mars, Month 3 - LS 65°",Sol 2495,-32,-81,-7,-86,873,Value not available,Value not available,06:03,17:47,moderate,Sunny
"Earth, 2019-08-12 UTC","Mars, Month 3 - LS 65°",Sol 2494,-28,-81,-7,-87,872,Value not available,Value not available,06:03,17:47,moderate,Sunny
"Earth, 2019-08-11 UTC","Mars, Month 3 - LS 64°",Sol 2493,-29,-81,-9,-91,872,Value not available,Value not available,06:03,17:48,moderate,Sunny
"Earth, 2019-08-10 UTC","Mars, Month 3 - LS 64°",Sol 2492,-32,-81,-7,-89,872,Value not available,Value not available,06:03,17:48,moderate,Sunny
"Earth, 2019-08-09 UTC","Mars, Month 3 - LS 63°",Sol 2491,-29,-80,-7,-89,873,Value not available,Value not available,06:04,17:48,moderate,Sunny
"Earth, 2019-08-08 UTC","Mars, Month 3 - LS 63°",Sol 2490,-28,-80,-7,-89,873,Value not available,Value not available,06:04,17:48,moderate,Sunny
"Earth, 2019-08-07 UTC","Mars, Month 3 - LS 62°",Sol 2489,-29,-81,-6,-86,872,Value not available,Value not available,06:04,17:49,moderate,Sunny
"Earth, 2019-08-06 UTC","Mars, Month 3 - LS 62°",Sol 2488,-27,-80,-6,-88,872,Value not available,Value not available,06:04,17:49,moderate,Sunny
"Earth, 2019-08-05 UTC","Mars, Month 3 - LS 61°",Sol 2487,-31,-82,-6,-88,872,Value not available,Value not available,06:04,17:49,moderate,Sunny
"Earth, 2019-08-04 UTC","Mars, Month 3 - LS 61°",Sol 2486,-28,-82,-7,-89,873,Value not available,Value not available,06:05,17:50,moderate,Sunny
"Earth, 2019-08-03 UTC","Mars, Month 3 - LS 61°",Sol 2485,-31,-81,-8,-87,874,Value not available,Value not available,06:05,17:50,moderate,Sunny
"Earth, 2019-08-02 UTC","Mars, Month 3 - LS 60°",Sol 2484,-33,-80,-8,-88,874,Value not available,Value not available,06:05,17:50,moderate,Sunny
"Earth, 2019-08-01 UTC","Mars, Month 3 - LS 60°",Sol 2483,-28,-81,-5,-88,874,Value not available,Value not available,06:05,17:50,moderate,Sunny
"Earth, 2019-07-31 UTC","Mars, Month 2 - LS 59°",Sol 2482,-29,-80,-8,-87,873,Value not available,Value not available,06:06,17:51,moderate,Sunny
"Earth, 2019-07-30 UTC","Mars, Month 2 - LS 59°",Sol 2481,-30,-80,-9,-88,874,Value not available,Value not available,06:06,17:51,moderate,Sunny
"Earth, 2019-07-29 UTC","Mars, Month 2 - LS 58°",Sol 2480,-31,-78,-3,-87,874,Value not available,Value not available,06:06,17:51,moderate,Sunny
"Earth, 2019-07-28 UTC","Mars, Month 2 - LS 58°",Sol 2479,-32,-79,-5,-87,875,Value not available,Value not available,06:06,17:52,moderate,Sunny
"Earth, 2019-07-27 UTC","Mars, Month 2 - LS 57°",Sol 2478,-34,-78,-4,-85,875,Value not available,Value not available,06:07,17:52,moderate,Sunny
"Earth, 2019-07-26 UTC","Mars, Month 2 - LS 57°",Sol 2477,-30,-78,-3,-86,874,Value not available,Value not available,06:07,17:52,moderate,Sunny
"Earth, 2019-07-25 UTC","Mars, Month 2 - LS 56°",Sol 2476,-26,-81,-2,-85,874,Value not available,Value not available,06:07,17:53,moderate,Sunny
"Earth, 2019-07-24 UTC","Mars, Month 2 - LS 56°",Sol 2475,-28,-77,-1,-86,874,Value not available,Value not available,06:07,17:53,moderate,Sunny
"Earth, 2019-07-23 UTC","Mars, Month 2 - LS 56°",Sol 2474,-30,-75,-5,-104,874,Value not available,Value not available,06:08,17:53,moderate,Sunny
"Earth, 2019-07-22 UTC","Mars, Month 2 - LS 55°",Sol 2473,-31,-75,-2,-90,874,Value not available,Value not available,06:08,17:54,moderate,Sunny
"Earth, 2019-07-21 UTC","Mars, Month 2 - LS 55°",Sol 2472,-27,-79,-7,-97,875,Value not available,Value not available,06:08,17:54,moderate,Sunny
"Earth, 2019-07-20 UTC","Mars, Month 2 - LS 54°",Sol 2471,-32,-78,-7,-83,874,Value not available,Value not available,06:08,17:54,moderate,Sunny
"Earth, 2019-07-18 UTC","Mars, Month 2 - LS 54°",Sol 2470,-27,-78,-7,-82,873,Value not available,Value not available,06:08,17:55,moderate,Sunny
"Earth, 2019-07-17 UTC","Mars, Month 2 - LS 53°",Sol 2469,-23,-79,-7,-84,874,Value not available,Value not available,06:09,17:55,moderate,Sunny
"Earth, 2019-07-16 UTC","Mars, Month 2 - LS 53°",Sol 2468,-30,-79,-6,-87,873,Value not available,Value not available,06:09,17:55,moderate,Sunny
"Earth, 2019-07-15 UTC","Mars, Month 2 - LS 52°",Sol 2467,-28,-79,-5,-87,873,Value not available,Value not available,06:09,17:56,moderate,Sunny
"Earth, 2019-07-14 UTC","Mars, Month 2 - LS 52°",Sol 2466,-31,-79,-7,-86,873,Value not available,Value not available,06:10,17:56,moderate,Sunny
"Earth, 2019-07-13 UTC","Mars, Month 2 - LS 52°",Sol 2465,-22,-80,-9,-86,873,Value not available,Value not available,06:10,17:56,moderate,Sunny
"Earth, 2019-07-12 UTC","Mars, Month 2 - LS 51°",Sol 2464,-22,-80,-9,-86,873,Value not available,Value not available,06:10,17:57,moderate,Sunny
"Earth, 2019-07-11 UTC","Mars, Month 2 - LS 51°",Sol 2463,-23,-80,-7,-99,872,Value not available,Value not available,06:10,17:57,moderate,Sunny
"Earth, 2019-07-10 UTC","Mars, Month 2 - LS 50°",Sol 2462,-27,-80,-9,-85,873,Value not available,Value not available,06:11,17:57,moderate,Sunny
"Earth, 2019-07-09 UTC","Mars, Month 2 - LS 50°",Sol 2461,-28,-79,-9,-86,875,Value not available,Value not available,06:11,17:58,moderate,Sunny
"Earth, 2019-07-08 UTC","Mars, Month 2 - LS 49°",Sol 2460,-27,-81,-8,-86,873,Value not available,Value not available,06:11,17:58,moderate,Sunny
"Earth, 2019-07-07 UTC","Mars, Month 2 - LS 49°",Sol 2459,-26,-80,-7,-86,871,Value not available,Value not available,06:11,17:58,moderate,Sunny
"Earth, 2019-07-06 UTC","Mars, Month 2 - LS 48°",Sol 2458,-27,-80,-7,-86,871,Value not available,Value not available,06:12,17:59,moderate,Sunny
"Earth, 2019-07-05 UTC","Mars, Month 2 - LS 48°",Sol 2457,-23,-79,-7,-85,872,Value not available,Value not available,06:12,17:59,moderate,Sunny
"Earth, 2019-07-04 UTC","Mars, Month 2 - LS 47°",Sol 2456,-27,-81,-7,-85,870,Value not available,Value not available,06:12,18:00,moderate,Sunny
"Earth, 2019-07-03 UTC","Mars, Month 2 - LS 47°",Sol 2455,-29,-80,-7,-86,870,Value not available,Value not available,06:12,18:00,moderate,Sunny
"Earth, 2019-07-02 UTC","Mars, Month 2 - LS 47°",Sol 2454,-23,-79,-6,-85,870,Value not available,Value not available,06:13,18:00,moderate,Sunny
"Earth, 2019-07-01 UTC","Mars, Month 2 - LS 46°",Sol 2453,-22,-79,1,-86,871,Value not available,Value not available,06:13,18:01,moderate,Sunny
"Earth, 2019-06-30 UTC","Mars, Month 2 - LS 46°",Sol 2452,-19,-80,0,-98,870,Value not available,Value not available,06:13,18:01,moderate,Sunny
"Earth, 2019-06-29 UTC","Mars, Month 2 - LS 45°",Sol 2451,-22,-79,0,-88,868,Value not available,Value not available,06:14,18:01,moderate,Sunny
"Earth, 2019-06-28 UTC","Mars, Month 2 - LS 45°",Sol 2450,-26,-79,-1,-90,869,Value not available,Value not available,06:14,18:02,moderate,Sunny
"Earth, 2019-06-27 UTC","Mars, Month 2 - LS 44°",Sol 2449,-24,-79,0,-89,870,Value not available,Value not available,06:14,18:02,moderate,Sunny
"Earth, 2019-06-26 UTC","Mars, Month 2 - LS 44°",Sol 2448,-26,-80,-3,-86,869,Value not available,Value not available,06:14,18:03,moderate,Sunny
"Earth, 2019-06-25 UTC","Mars, Month 2 - LS 43°",Sol 2447,-23,-81,1,-86,867,Value not available,Value not available,06:15,18:03,moderate,Sunny
"Earth, 2019-06-24 UTC","Mars, Month 2 - LS 43°",Sol 2446,-25,-78,0,-86,868,Value not available,Value not available,06:15,18:03,moderate,Sunny
"Earth, 2019-06-23 UTC","Mars, Month 2 - LS 42°",Sol 2445,-26,-80,-2,-89,868,Value not available,Value not available,06:15,18:04,moderate,Sunny
"Earth, 2019-06-22 UTC","Mars, Month 2 - LS 42°",Sol 2444,-26,-80,0,-83,867,Value not available,Value not available,06:15,18:04,moderate,Sunny
"Earth, 2019-06-21 UTC","Mars, Month 2 - LS 41°",Sol 2443,-26,-80,-1,-83,866,Value not available,Value not available,06:16,18:04,moderate,Sunny
"Earth, 2019-06-20 UTC","Mars, Month 2 - LS 41°",Sol 2442,-27,-78,-1,-83,867,Value not available,Value not available,06:16,18:05,moderate,Sunny
"Earth, 2019-06-19 UTC","Mars, Month 2 - LS 41°",Sol 2441,-28,-81,0,-84,867,Value not available,Value not available,06:16,18:05,moderate,Sunny
"Earth, 2019-06-18 UTC","Mars, Month 2 - LS 40°",Sol 2440,-26,-79,1,-83,865,Value not available,Value not available,06:17,18:06,moderate,Sunny
"Earth, 2019-06-17 UTC","Mars, Month 2 - LS 40°",Sol 2439,-20,-80,1,-84,865,Value not available,Value not available,06:17,18:06,moderate,Sunny
"Earth, 2019-06-16 UTC","Mars, Month 2 - LS 39°",Sol 2438,-25,-80,-3,-86,865,Value not available,Value not available,06:17,18:06,moderate,Sunny
"Earth, 2019-06-15 UTC","Mars, Month 2 - LS 39°",Sol 2437,-25,-79,-7,-85,866,Value not available,Value not available,06:18,18:07,moderate,Sunny
"Earth, 2019-06-14 UTC","Mars, Month 2 - LS 38°",Sol 2436,-22,-80,-3,-87,863,Value not available,Value not available,06:18,18:07,moderate,Sunny
"Earth, 2019-06-13 UTC","Mars, Month 2 - LS 38°",Sol 2435,-23,-79,-6,-87,864,Value not available,Value not available,06:18,18:08,moderate,Sunny
"Earth, 2019-06-12 UTC","Mars, Month 2 - LS 37°",Sol 2434,-17,-79,-4,-87,865,Value not available,Value not available,06:18,18:08,moderate,Sunny
"Earth, 2019-06-10 UTC","Mars, Month 2 - LS 37°",Sol 2433,-19,-79,-3,-87,865,Value not available,Value not available,06:19,18:08,moderate,Sunny
"Earth, 2019-06-09 UTC","Mars, Month 2 - LS 36°",Sol 2432,-14,-79,-2,-86,863,Value not available,Value not available,06:19,18:09,moderate,Sunny
"Earth, 2019-06-08 UTC","Mars, Month 2 - LS 36°",Sol 2431,-25,-78,-4,-85,863,Value not available,Value not available,06:19,18:09,moderate,Sunny
"Earth, 2019-06-07 UTC","Mars, Month 2 - LS 35°",Sol 2430,-21,-77,-3,-84,863,Value not available,Value not available,06:20,18:10,moderate,Sunny
"Earth, 2019-06-06 UTC","Mars, Month 2 - LS 35°",Sol 2429,-23,-77,-2,-83,863,Value not available,Value not available,06:20,18:10,moderate,Sunny
"Earth, 2019-06-05 UTC","Mars, Month 2 - LS 35°",Sol 2428,-21,-79,-3,-83,861,Value not available,Value not available,06:20,18:11,moderate,Sunny
"Earth, 2019-06-04 UTC","Mars, Month 2 - LS 34°",Sol 2427,-21,-76,-1,-85,860,Value not available,Value not available,06:20,18:11,moderate,Sunny
"Earth, 2019-06-03 UTC","Mars, Month 2 - LS 34°",Sol 2426,-24,-76,-3,-87,859,Value not available,Value not available,06:21,18:11,moderate,Sunny
"Earth, 2019-06-02 UTC","Mars, Month 2 - LS 33°",Sol 2425,-24,-79,-2,-87,860,Value not available,Value not available,06:21,18:12,moderate,Sunny
"Earth, 2019-06-01 UTC","Mars, Month 2 - LS 33°",Sol 2424,-24,-74,-2,-86,860,Value not available,Value not available,06:21,18:12,moderate,Sunny
"Earth, 2019-05-31 UTC","Mars, Month 2 - LS 32°",Sol 2423,-24,-73,-2,-121,857,Value not available,Value not available,06:22,18:13,moderate,Sunny
"Earth, 2019-05-30 UTC","Mars, Month 2 - LS 32°",Sol 2422,-27,-73,-1,-119,857,Value not available,Value not available,06:22,18:13,moderate,Sunny
"Earth, 2019-05-29 UTC","Mars, Month 2 - LS 31°",Sol 2421,-26,-73,-2,-94,858,Value not available,Value not available,06:22,18:13,moderate,Sunny
"Earth, 2019-05-28 UTC","Mars, Month 2 - LS 31°",Sol 2420,-26,-78,0,-94,857,Value not available,Value not available,06:23,18:14,moderate,Sunny
"Earth, 2019-05-27 UTC","Mars, Month 2 - LS 30°",Sol 2419,-16,-75,0,-101,855,Value not available,Value not available,06:23,18:14,moderate,Sunny
"Earth, 2019-05-26 UTC","Mars, Month 2 - LS 30°",Sol 2418,-21,-75,-1,-85,855,Value not available,Value not available,06:23,18:15,moderate,Sunny
"Earth, 2019-05-25 UTC","Mars, Month 1 - LS 29°",Sol 2417,-18,-77,1,-107,856,Value not available,Value not available,06:24,18:15,moderate,Sunny
"Earth, 2019-05-24 UTC","Mars, Month 1 - LS 29°",Sol 2416,-14,-78,0,-118,855,Value not available,Value not available,06:24,18:16,moderate,Sunny
"Earth, 2019-05-23 UTC","Mars, Month 1 - LS 28°",Sol 2415,-24,-77,-3,-84,853,Value not available,Value not available,06:24,18:16,moderate,Sunny
"Earth, 2019-05-22 UTC","Mars, Month 1 - LS 28°",Sol 2414,-24,-75,-3,-86,853,Value not available,Value not available,06:24,18:16,moderate,Sunny
"Earth, 2019-05-21 UTC","Mars, Month 1 - LS 27°",Sol 2413,-24,-78,-2,-84,854,Value not available,Value not available,06:25,18:17,moderate,Sunny
"Earth, 2019-05-20 UTC","Mars, Month 1 - LS 27°",Sol 2412,-14,-78,0,-89,853,Value not available,Value not available,06:25,18:17,moderate,Sunny
"Earth, 2019-05-19 UTC","Mars, Month 1 - LS 27°",Sol 2411,-28,-77,1,-86,852,Value not available,Value not available,06:25,18:18,moderate,Sunny
"Earth, 2019-05-18 UTC","Mars, Month 1 - LS 26°",Sol 2410,-25,-77,0,-82,852,Value not available,Value not available,06:26,18:18,moderate,Sunny
"Earth, 2019-05-17 UTC","Mars, Month 1 - LS 26°",Sol 2409,-27,-77,1,-82,852,Value not available,Value not available,06:26,18:19,moderate,Sunny
"Earth, 2019-05-16 UTC","Mars, Month 1 - LS 25°",Sol 2408,-27,-78,0,-85,852,Value not available,Value not available,06:26,18:19,moderate,Sunny
"Earth, 2019-05-15 UTC","Mars, Month 1 - LS 25°",Sol 2407,-24,-77,-3,-83,851,Value not available,Value not available,06:27,18:19,moderate,Sunny
"Earth, 2019-05-14 UTC","Mars, Month 1 - LS 24°",Sol 2406,-24,-77,-2,-82,849,Value not available,Value not available,06:27,18:20,moderate,Sunny
"Earth, 2019-05-13 UTC","Mars, Month 1 - LS 24°",Sol 2405,-25,-75,-2,-80,849,Value not available,Value not available,06:27,18:20,moderate,Sunny
"Earth, 2019-05-12 UTC","Mars, Month 1 - LS 23°",Sol 2404,-24,-77,-2,-81,848,Value not available,Value not available,06:27,18:21,moderate,Sunny
"Earth, 2019-05-11 UTC","Mars, Month 1 - LS 23°",Sol 2403,-23,-76,-2,-81,847,Value not available,Value not available,06:28,18:21,moderate,Sunny
"Earth, 2019-05-10 UTC","Mars, Month 1 - LS 22°",Sol 2402,-23,-77,-3,-82,846,Value not available,Value not available,06:28,18:22,moderate,Sunny
