,matchId,playerId,playType,bodyPart,x,y,interveningOpponents,interveningTeammates,interferenceOnShooter,minute,second,outcome
2440,m_50,p_91,during the match,right foot,28.43,-3.49,3,0,medium,27,57,missed opportunity
2441,m_98,p_38,during the match,left foot,10.23,0.25,2,0,high,3,49,kick to the defense
2442,m_4,p_140,during the match,right foot,9.48,-10.72,3,0,medium,50,0,kick to the defense
2443,m_36,p_46,during the match,left foot,15.21,-11.22,3,0,low,94,35,goalkeeper save
2444,m_143,p_74,during the match,head,7.23,-8.23,1,0,medium,88,29,goalkeeper save
2445,m_172,p_74,during the match,right foot,14.46,-5.74,4,1,medium,58,8,kick to the defense
2446,m_101,p_31,during the match,left foot,2.24,1.5,0,0,low,88,14,missed opportunity
2447,m_95,p_60,during the match,head,4.24,8.98,5,0,medium,80,0,missed opportunity
2448,m_60,p_106,during the match,right foot,13.72,14.71,3,0,high,69,14,goalkeeper save
2449,m_28,p_29,during the match,left foot,19.95,-12.22,3,1,low,76,6,missed opportunity
2450,m_64,p_86,during the match,head,5.74,-2.24,2,0,medium,82,45,missed opportunity
2451,m_52,p_128,during the match,left foot,24.44,-0.5,3,0,medium,10,22,goalkeeper save
2452,m_99,p_99,during the match,right foot,25.19,0.25,2,0,low,7,34,missed opportunity
2453,m_66,p_51,during the match,right foot,13.47,-14.22,2,1,high,93,56,missed opportunity
2454,m_151,p_56,during the match,right foot,25.19,-0.5,3,0,low,42,27,goalkeeper save
2455,m_119,p_59,during the match,left foot,14.71,-9.98,3,1,medium,88,24,goalkeeper save
2456,m_208,p_91,during the match,right foot,24.44,12.72,2,0,medium,58,36,missed opportunity
2457,m_187,p_145,during the match,head,9.48,4.24,1,0,low,70,54,missed opportunity
2458,m_201,p_107,during the match,right foot,13.47,-6.48,3,1,low,29,37,kick to the defense
2459,m_220,p_130,direct free kick,right foot,26.68,-3.24,7,1,low,47,45,missed opportunity
2460,m_102,p_141,during the match,head,9.98,2.0,2,0,low,0,19,kick to the crossbar
2461,m_108,p_7,during the match,left foot,30.67,7.73,3,1,medium,4,32,kick to the defense
2462,m_124,p_75,during the match,left foot,11.97,4.24,3,1,low,49,7,missed opportunity
2463,m_9,p_100,during the match,left foot,1.0,7.23,1,1,low,49,11,goal
2464,m_43,p_107,during the match,left foot,26.93,-10.47,4,1,high,44,13,kick to the defense
2465,m_40,p_48,during the match,right foot,12.22,9.48,2,0,medium,78,53,missed opportunity
2466,m_50,p_48,during the match,left foot,13.22,-0.5,2,0,low,80,11,goalkeeper save
2467,m_91,p_70,during the match,other,4.74,1.75,2,0,low,19,28,kick to the defense
2468,m_235,p_27,during the match,other,5.74,5.74,2,0,low,74,51,kick to the defense
2469,m_153,p_16,during the match,right foot,7.48,-6.48,1,0,medium,73,53,kick to the defense
2470,m_200,p_150,during the match,left foot,22.2,0.75,2,0,medium,22,22,missed opportunity
2471,m_185,p_116,during the match,left foot,15.21,-6.48,3,0,high,35,14,goalkeeper save
2472,m_137,p_150,during the match,left foot,13.22,-11.47,3,0,medium,80,53,goalkeeper save
2473,m_225,p_9,during the match,right foot,12.72,-1.5,2,0,,22,38,own goal
2474,m_90,p_94,during the match,left foot,20.7,7.23,2,0,medium,51,13,goalkeeper save
2475,m_220,p_142,during the match,head,12.72,-1.25,4,0,medium,87,55,missed opportunity
2476,m_38,p_112,during the match,right foot,26.19,-2.49,2,0,medium,23,11,missed opportunity
2477,m_178,p_94,during the match,right foot,14.46,-7.48,1,0,low,43,19,kick to the defense
2478,m_13,p_157,during the match,left foot,10.47,-2.74,1,0,low,9,18,goal
2479,m_220,p_147,during the match,right foot,27.18,2.49,6,2,medium,26,1,kick to the defense
2480,m_166,p_145,during the match,right foot,13.47,-13.97,3,0,medium,72,6,missed opportunity
2481,m_213,p_35,during the match,head,10.23,-2.99,2,0,medium,69,23,missed opportunity
2482,m_10,p_125,during the match,head,9.23,1.25,1,0,high,49,36,goalkeeper save
2483,m_33,p_119,during the match,head,7.98,-1.75,3,0,high,73,52,goalkeeper save
2484,m_163,p_56,during the match,left foot,13.22,-12.97,2,0,medium,59,29,goalkeeper save
2485,m_48,p_65,during the match,left foot,12.22,3.74,2,0,medium,44,31,goalkeeper save
2486,m_46,p_151,during the match,left foot,10.23,0.5,2,0,low,1,32,goalkeeper save
2487,m_13,p_111,during the match,right foot,14.71,0.75,3,0,high,6,8,kick to the defense
2488,m_4,p_105,during the match,right foot,8.48,11.47,3,0,medium,28,10,goalkeeper save
2489,m_180,p_147,during the match,right foot,26.93,2.99,4,1,low,14,56,goalkeeper save
2490,m_92,p_153,during the match,head,11.97,-7.48,2,0,medium,51,32,kick to the defense
2491,m_234,p_118,during the match,left foot,10.97,2.24,3,1,high,90,35,kick to the crossbar
2492,m_54,p_90,during the match,left foot,10.72,8.23,1,0,medium,4,5,missed opportunity
2493,m_227,p_92,during the match,right foot,13.72,-7.48,3,0,low,58,29,goalkeeper save
2494,m_6,p_133,during the match,right foot,6.48,-13.47,2,0,medium,88,59,goalkeeper save
2495,m_130,p_48,during the match,head,8.98,1.5,2,0,low,18,53,missed opportunity
2496,m_224,p_129,penalty,right foot,10.97,0.0,1,0,low,21,51,goal
2497,m_35,p_134,during the match,head,7.73,-5.24,4,1,medium,23,22,missed opportunity
2498,m_8,p_9,during the match,right foot,14.22,11.72,4,1,medium,6,13,goalkeeper save
2499,m_188,p_92,during the match,head,9.23,-0.75,1,0,medium,48,45,goalkeeper save
2500,m_88,p_148,during the match,right foot,17.71,-16.96,1,0,high,77,22,goalkeeper save
2501,m_192,p_33,during the match,right foot,9.98,-12.72,2,0,low,63,44,missed opportunity
2502,m_65,p_18,penalty,right foot,10.97,0.0,1,0,low,17,56,goal
2503,m_78,p_45,during the match,right foot,13.97,6.48,2,0,low,40,58,kick to the defense
2504,m_107,p_118,during the match,right foot,17.71,-12.97,2,0,medium,48,42,missed opportunity
2505,m_218,p_21,during the match,right foot,17.46,9.23,1,0,medium,49,39,kick to the defense
2506,m_208,p_17,during the match,right foot,13.97,0.5,2,0,high,92,36,goalkeeper save
2507,m_191,p_84,during the match,left foot,11.47,12.97,2,0,medium,74,19,goal
2508,m_212,p_159,during the match,left foot,12.97,-2.0,3,0,medium,53,44,kick to the defense
2509,m_37,p_147,during the match,right foot,22.69,7.98,2,0,low,93,3,goalkeeper save
2510,m_115,p_112,during the match,right foot,25.69,-0.5,4,1,low,18,36,kick to the defense
2511,m_205,p_86,during the match,left foot,8.23,-6.73,1,1,,18,55,own goal
2512,m_186,p_130,during the match,left foot,7.48,16.96,2,0,medium,51,3,missed opportunity
2513,m_114,p_78,during the match,right foot,13.97,-13.97,2,0,medium,38,37,kick to the defense
2514,m_42,p_77,during the match,left foot,2.99,7.98,2,0,medium,75,59,goalkeeper save
2515,m_170,p_100,during the match,right foot,21.7,-5.24,5,0,medium,50,34,goalkeeper save
2516,m_41,p_146,during the match,left foot,19.95,-13.47,4,2,high,52,43,missed opportunity
2517,m_136,p_45,during the match,left foot,12.97,5.24,3,1,low,58,58,kick to the defense
2518,m_223,p_119,during the match,head,7.98,2.74,2,0,high,43,14,goalkeeper save
2519,m_110,p_10,during the match,left foot,23.44,9.48,3,1,medium,78,1,missed opportunity
2520,m_4,p_14,during the match,other,6.24,-0.5,3,0,high,46,37,kick to the crossbar
2521,m_33,p_23,during the match,left foot,10.97,9.23,2,0,medium,54,24,goal
2522,m_237,p_74,during the match,head,13.22,1.25,1,0,low,89,13,goalkeeper save
2523,m_47,p_17,during the match,right foot,7.98,-9.73,2,0,low,47,54,kick to the defense
2524,m_126,p_4,during the match,right foot,11.22,6.98,1,0,low,85,16,missed opportunity
2525,m_230,p_151,during the match,left foot,10.23,15.71,2,0,medium,43,48,missed opportunity
2526,m_208,p_20,during the match,right foot,12.22,19.2,3,1,medium,50,34,missed opportunity
2527,m_33,p_120,direct free kick,right foot,18.7,0.5,5,1,low,65,35,kick to the defense
2528,m_230,p_30,during the match,right foot,11.47,9.23,3,0,high,8,2,kick to the defense
2529,m_107,p_89,during the match,left foot,7.73,3.74,1,0,low,81,2,goal
2530,m_95,p_5,during the match,right foot,8.98,9.23,3,1,medium,92,34,missed opportunity
2531,m_7,p_2,during the match,head,12.72,6.73,2,1,high,4,5,missed opportunity
2532,m_3,p_87,during the match,left foot,37.41,5.99,2,0,medium,66,53,missed opportunity
2533,m_149,p_136,during the match,left foot,15.46,-4.99,3,0,medium,75,2,goalkeeper save
2534,m_118,p_38,during the match,right foot,14.71,1.75,2,0,medium,3,51,goalkeeper save
2535,m_53,p_131,during the match,right foot,33.92,10.47,4,0,low,4,33,missed opportunity
2536,m_78,p_39,during the match,right foot,11.72,-5.74,4,1,low,48,39,goalkeeper save
2537,m_213,p_76,during the match,right foot,29.93,-1.75,3,0,low,30,18,goalkeeper save
2538,m_43,p_60,during the match,right foot,21.45,5.99,3,1,medium,20,14,missed opportunity
2539,m_72,p_158,during the match,right foot,4.74,-11.72,2,0,medium,66,3,goalkeeper save
2540,m_133,p_76,during the match,left foot,7.73,10.72,2,0,medium,23,51,goal
2541,m_186,p_17,during the match,head,7.73,12.47,2,0,low,46,18,missed opportunity
2542,m_198,p_80,during the match,left foot,2.24,-0.75,1,0,high,82,9,missed opportunity
2543,m_79,p_159,during the match,left foot,24.69,0.25,4,0,medium,62,18,missed opportunity
2544,m_169,p_112,during the match,head,10.47,-1.0,4,1,medium,66,57,goalkeeper save
2545,m_157,p_112,during the match,head,5.24,5.49,1,0,low,36,0,missed opportunity
2546,m_107,p_155,during the match,left foot,19.95,-12.97,3,0,low,89,58,missed opportunity
2547,m_48,p_36,during the match,other,8.73,10.47,2,0,high,50,54,kick to the defense
2548,m_219,p_55,during the match,left foot,13.47,31.17,3,0,low,53,40,goalkeeper save
2549,m_83,p_148,during the match,left foot,14.46,0.25,3,0,medium,61,49,kick to the defense
2550,m_232,p_17,during the match,left foot,12.47,8.48,2,0,medium,85,35,missed opportunity
2551,m_26,p_103,direct free kick,left foot,7.98,-21.7,3,0,low,90,2,goalkeeper save
2552,m_150,p_89,during the match,right foot,28.93,-0.75,3,0,medium,54,50,goalkeeper save
2553,m_95,p_142,during the match,left foot,11.22,7.73,1,0,medium,44,4,goalkeeper save
2554,m_225,p_124,during the match,left foot,13.97,-9.23,3,0,high,44,34,missed opportunity
2555,m_207,p_8,during the match,right foot,19.45,-2.49,2,0,medium,64,10,missed opportunity
2556,m_142,p_28,direct free kick,right foot,27.93,-7.98,7,2,low,92,14,kick to the defense
2557,m_169,p_47,during the match,left foot,7.48,1.75,2,0,medium,14,30,goal
2558,m_197,p_43,direct free kick,right foot,28.93,2.24,8,2,low,74,4,goalkeeper save
2559,m_58,p_81,during the match,left foot,12.97,7.98,4,1,low,84,12,kick to the defense
2560,m_186,p_7,during the match,right foot,16.21,23.44,2,0,medium,30,47,goalkeeper save
2561,m_234,p_35,during the match,head,10.97,-3.99,2,0,medium,51,18,goalkeeper save
2562,m_54,p_120,during the match,right foot,13.72,-6.48,1,0,medium,45,56,kick to the defense
2563,m_158,p_16,during the match,right foot,1.75,-3.24,0,1,,75,24,own goal
2564,m_118,p_26,during the match,right foot,13.47,-7.73,3,0,low,38,12,kick to the defense
2565,m_114,p_77,during the match,right foot,2.99,-10.23,1,0,high,35,33,kick to the defense
2566,m_224,p_15,during the match,left foot,23.94,-17.21,4,0,low,56,40,missed opportunity
2567,m_48,p_79,during the match,left foot,10.47,12.47,2,0,high,45,49,kick to the defense
2568,m_58,p_75,during the match,head,10.97,0.25,1,0,low,40,55,missed opportunity
2569,m_203,p_129,during the match,right foot,18.7,1.5,3,1,medium,19,53,kick to the defense
2570,m_168,p_77,during the match,right foot,22.44,0.75,2,0,high,89,50,missed opportunity
2571,m_71,p_52,during the match,right foot,22.94,7.73,3,1,low,77,5,kick to the crossbar
2572,m_7,p_80,during the match,head,4.74,-6.24,2,0,high,89,22,missed opportunity
2573,m_212,p_124,during the match,left foot,9.48,12.47,1,0,medium,45,58,goalkeeper save
2574,m_195,p_157,during the match,right foot,14.46,10.72,2,0,low,62,51,goalkeeper save
2575,m_162,p_117,during the match,head,11.72,1.75,1,0,low,32,49,goalkeeper save
2576,m_25,p_148,during the match,right foot,14.71,5.99,1,0,medium,41,9,goalkeeper save
2577,m_102,p_45,during the match,left foot,26.19,-6.24,2,1,low,86,15,kick to the defense
2578,m_13,p_146,during the match,right foot,23.19,-9.23,2,0,low,10,45,goalkeeper save
2579,m_94,p_75,during the match,left foot,16.46,-6.24,2,0,low,37,24,goal
2580,m_146,p_100,during the match,left foot,23.19,8.23,3,0,medium,28,6,missed opportunity
2581,m_163,p_43,during the match,right foot,6.48,12.97,1,0,medium,53,52,kick to the defense
2582,m_16,p_75,during the match,left foot,12.97,7.98,2,0,medium,84,51,kick to the defense
2583,m_113,p_79,during the match,right foot,4.49,3.99,1,0,medium,78,27,goalkeeper save
2584,m_10,p_36,during the match,right foot,8.98,-2.49,1,0,low,83,38,missed opportunity
2585,m_28,p_92,during the match,right foot,25.44,1.25,5,2,medium,21,49,missed opportunity
2586,m_226,p_20,during the match,left foot,3.99,9.98,2,0,high,79,30,goal
2587,m_66,p_135,during the match,right foot,18.45,-8.48,3,0,medium,42,0,kick to the defense
2588,m_88,p_80,during the match,left foot,8.23,18.21,2,0,low,46,37,goalkeeper save
2589,m_169,p_120,during the match,right foot,13.47,-7.98,2,0,medium,35,39,kick to the defense
2590,m_55,p_155,during the match,right foot,21.95,-13.72,1,0,medium,92,3,missed opportunity
2591,m_95,p_16,during the match,right foot,10.72,16.46,2,0,medium,77,15,missed opportunity
2592,m_219,p_85,during the match,left foot,18.21,-20.95,2,0,medium,4,30,goalkeeper save
2593,m_3,p_53,during the match,right foot,6.98,1.0,4,1,medium,37,36,kick to the defense
2594,m_89,p_131,during the match,right foot,5.49,-3.99,1,0,low,45,49,missed opportunity
2595,m_57,p_79,during the match,left foot,11.47,14.22,4,1,high,82,8,goalkeeper save
2596,m_55,p_52,during the match,left foot,23.19,7.73,2,1,low,81,56,goalkeeper save
2597,m_51,p_65,direct free kick,left foot,26.93,-4.99,6,1,low,41,23,missed opportunity
2598,m_48,p_95,during the match,right foot,21.2,5.24,2,0,medium,53,51,goalkeeper save
2599,m_230,p_158,during the match,right foot,6.48,-16.46,2,0,high,36,13,missed opportunity
2600,m_87,p_81,during the match,left foot,10.72,3.74,1,0,medium,47,52,goalkeeper save
2601,m_61,p_13,during the match,right foot,14.71,9.48,3,0,medium,34,55,goalkeeper save
2602,m_100,p_24,during the match,right foot,24.94,-2.49,2,0,medium,16,40,missed opportunity
2603,m_224,p_126,during the match,left foot,24.69,-3.99,2,0,medium,4,12,kick to the defense
2604,m_16,p_57,during the match,left foot,15.46,6.98,2,0,medium,43,0,missed opportunity
2605,m_171,p_83,during the match,right foot,7.73,2.74,1,0,medium,83,15,kick to the defense
2606,m_30,p_83,direct free kick,right foot,22.94,3.99,6,4,low,20,58,goal
2607,m_34,p_73,during the match,head,9.48,1.0,2,0,medium,76,36,goalkeeper save
2608,m_204,p_120,during the match,right foot,20.95,-3.99,4,1,low,93,13,missed opportunity
2609,m_157,p_88,during the match,right foot,28.68,-16.46,3,0,low,69,20,missed opportunity
2610,m_131,p_54,during the match,right foot,9.23,-4.99,1,0,medium,19,1,goal
2611,m_159,p_67,during the match,right foot,25.44,11.72,4,1,medium,45,7,goalkeeper save
2612,m_108,p_24,during the match,right foot,16.96,-8.98,2,0,low,67,7,missed opportunity
2613,m_84,p_150,during the match,left foot,13.22,10.47,1,0,medium,29,21,goalkeeper save
2614,m_94,p_57,during the match,right foot,24.69,7.48,2,0,high,61,22,kick to the defense
2615,m_115,p_153,during the match,left foot,7.98,10.97,2,0,low,64,14,kick to the crossbar
2616,m_125,p_150,during the match,head,10.23,-3.99,2,0,high,36,57,missed opportunity
2617,m_119,p_108,during the match,left foot,14.96,5.24,2,0,medium,85,2,kick to the defense
2618,m_204,p_155,during the match,right foot,20.95,7.73,2,0,high,28,55,goalkeeper save
2619,m_127,p_29,during the match,left foot,13.97,0.25,3,1,low,19,55,kick to the defense
2620,m_152,p_52,during the match,right foot,27.18,0.5,3,1,low,51,30,kick to the defense
2621,m_44,p_62,during the match,left foot,21.7,-0.75,2,0,low,55,22,missed opportunity
2622,m_228,p_77,during the match,left foot,23.94,11.47,2,0,low,56,57,missed opportunity
2623,m_195,p_157,during the match,left foot,25.69,-1.25,3,1,medium,2,43,kick to the crossbar
2624,m_10,p_150,during the match,right foot,28.93,5.49,4,0,medium,42,13,missed opportunity
2625,m_107,p_146,during the match,right foot,10.97,-12.72,2,0,medium,80,5,goal
2626,m_152,p_127,during the match,head,2.99,7.98,2,0,low,46,36,kick to the defense
2627,m_225,p_73,during the match,right foot,7.23,14.96,2,0,medium,81,4,goalkeeper save
2628,m_130,p_152,during the match,right foot,4.74,-8.23,2,0,low,68,25,goalkeeper save
2629,m_209,p_119,during the match,right foot,22.94,1.75,2,0,low,14,17,goalkeeper save
2630,m_140,p_72,during the match,right foot,23.69,13.72,4,1,medium,12,58,missed opportunity
2631,m_119,p_54,penalty,right foot,10.97,0.0,1,0,low,61,36,goal
2632,m_83,p_56,during the match,left foot,20.95,9.48,5,1,medium,37,2,kick to the defense
2633,m_95,p_77,direct free kick,right foot,20.45,15.46,5,1,low,55,24,kick to the defense
2634,m_111,p_17,during the match,right foot,15.46,-11.97,3,0,low,12,57,goalkeeper save
2635,m_44,p_106,during the match,head,10.47,-7.73,2,0,low,88,19,goalkeeper save
2636,m_134,p_93,during the match,head,6.48,-4.74,3,0,medium,91,20,goalkeeper save
2637,m_167,p_126,during the match,head,10.97,-4.24,4,1,medium,54,27,missed opportunity
2638,m_233,p_18,during the match,right foot,20.95,6.98,2,0,low,53,44,goalkeeper save
2639,m_142,p_51,during the match,left foot,13.97,-4.24,4,0,medium,6,23,missed opportunity
2640,m_137,p_10,during the match,left foot,23.44,-14.71,3,1,medium,11,50,kick to the defense
2641,m_59,p_86,during the match,head,7.73,-1.75,2,0,medium,1,30,missed opportunity
2642,m_128,p_79,during the match,left foot,14.46,5.74,4,0,medium,78,19,goalkeeper save
2643,m_106,p_145,during the match,left foot,6.73,-4.99,3,0,medium,11,51,goal
2644,m_199,p_139,penalty,right foot,10.97,0.0,1,0,low,60,45,goal
2645,m_192,p_88,during the match,right foot,14.71,-15.96,3,1,medium,86,20,kick to the defense
2646,m_12,p_21,during the match,left foot,22.69,5.49,2,0,medium,71,45,missed opportunity
2647,m_90,p_155,during the match,right foot,9.98,-4.24,2,0,high,76,43,missed opportunity
2648,m_222,p_36,during the match,right foot,23.19,-17.96,2,0,low,72,40,kick to the defense
2649,m_78,p_125,during the match,right foot,22.2,2.49,2,0,low,30,22,goalkeeper save
2650,m_160,p_72,during the match,right foot,14.22,8.23,2,0,high,73,36,kick to the defense
2651,m_64,p_125,during the match,head,10.23,-4.99,2,0,high,38,33,goalkeeper save
2652,m_207,p_63,during the match,left foot,28.18,1.5,2,0,low,4,6,goal
2653,m_121,p_135,penalty,right foot,10.97,0.0,1,0,low,39,46,goal
2654,m_63,p_159,during the match,right foot,19.95,9.23,3,1,high,48,34,goalkeeper save
2655,m_206,p_51,during the match,right foot,18.95,16.21,3,1,high,83,49,missed opportunity
2656,m_53,p_114,during the match,right foot,14.71,-3.24,1,0,low,6,28,goalkeeper save
2657,m_24,p_16,during the match,left foot,21.45,-17.96,3,0,medium,30,44,missed opportunity
2658,m_128,p_95,during the match,left foot,22.69,-15.46,2,0,medium,56,29,missed opportunity
2659,m_170,p_97,during the match,head,7.73,0.5,1,0,low,82,0,goal
2660,m_97,p_129,during the match,right foot,18.7,0.5,1,0,medium,0,45,goalkeeper save
2661,m_149,p_80,during the match,right foot,27.93,-3.24,3,0,medium,8,52,goalkeeper save
2662,m_56,p_156,during the match,left foot,19.2,15.21,2,0,medium,89,20,missed opportunity
2663,m_128,p_118,during the match,right foot,12.22,18.95,3,1,low,70,50,missed opportunity
2664,m_7,p_92,during the match,left foot,14.96,-22.94,3,0,medium,37,58,missed opportunity
2665,m_83,p_141,during the match,left foot,14.96,-2.49,4,0,high,28,13,kick to the defense
2666,m_64,p_111,during the match,left foot,23.69,-22.69,2,0,medium,88,29,goalkeeper save
2667,m_50,p_68,during the match,right foot,7.73,-4.99,1,0,,5,28,own goal
2668,m_85,p_71,penalty,right foot,10.97,0.0,1,0,low,25,25,goal
2669,m_187,p_102,during the match,left foot,31.42,-3.74,3,2,low,92,2,goalkeeper save
2670,m_151,p_79,during the match,head,10.47,5.99,3,0,high,40,10,goal
2671,m_133,p_39,during the match,head,6.48,-2.0,2,0,high,12,53,missed opportunity
2672,m_213,p_26,during the match,head,10.47,-4.24,2,0,medium,74,50,kick to the defense
2673,m_218,p_145,penalty,left foot,10.97,0.0,1,0,low,60,51,goalkeeper save
2674,m_58,p_157,during the match,head,9.23,1.5,2,1,low,70,25,kick to the defense
2675,m_5,p_137,during the match,left foot,14.96,-3.49,3,0,low,29,52,kick to the defense
2676,m_102,p_49,during the match,left foot,20.45,-15.96,4,0,medium,86,46,kick to the defense
2677,m_182,p_23,during the match,right foot,21.95,1.75,3,0,medium,61,9,goalkeeper save
2678,m_218,p_133,during the match,right foot,14.96,-0.5,4,2,medium,6,23,kick to the crossbar
2679,m_11,p_150,during the match,right foot,14.96,1.75,3,0,medium,60,23,kick to the defense
2680,m_131,p_79,during the match,left foot,17.96,3.99,4,0,medium,57,27,kick to the defense
2681,m_150,p_94,during the match,right foot,13.22,-9.73,1,0,low,56,33,goal
2682,m_86,p_48,during the match,right foot,15.71,-4.24,2,0,low,27,13,goal
2683,m_143,p_120,during the match,right foot,13.47,2.0,2,0,high,80,14,kick to the crossbar
2684,m_139,p_52,during the match,left foot,10.72,8.73,4,1,low,63,52,missed opportunity
2685,m_84,p_91,during the match,right foot,15.96,-11.72,5,2,low,87,41,missed opportunity
2686,m_89,p_69,during the match,right foot,12.22,5.99,1,0,,60,56,own goal
2687,m_163,p_68,during the match,left foot,10.47,2.99,1,0,low,70,27,goalkeeper save
2688,m_131,p_38,during the match,right foot,27.43,-1.0,4,0,medium,61,49,missed opportunity
2689,m_118,p_33,during the match,right foot,24.44,-9.23,2,1,low,92,11,goalkeeper save
2690,m_203,p_153,direct free kick,left foot,26.93,-5.24,5,2,low,24,21,missed opportunity
2691,m_160,p_42,during the match,left foot,12.22,-14.22,2,0,medium,8,46,kick to the defense
2692,m_9,p_98,during the match,head,4.74,-5.74,3,2,high,41,47,goalkeeper save
2693,m_148,p_52,during the match,left foot,24.44,-1.75,2,0,medium,84,47,goalkeeper save
2694,m_153,p_50,direct free kick,left foot,20.95,14.46,5,0,low,71,27,missed opportunity
2695,m_48,p_133,during the match,left foot,11.22,10.72,4,0,high,61,25,kick to the defense
2696,m_194,p_43,during the match,right foot,19.45,14.46,2,0,low,58,11,kick to the defense
2697,m_25,p_87,during the match,left foot,2.24,16.21,1,0,low,32,6,missed opportunity
2698,m_53,p_157,during the match,right foot,6.24,-19.95,3,0,low,47,4,missed opportunity
2699,m_17,p_57,during the match,right foot,8.73,-6.24,3,0,high,64,19,kick to the defense
2700,m_238,p_26,direct free kick,left foot,29.93,-6.73,5,1,low,64,8,goal
2701,m_65,p_114,during the match,left foot,25.44,-11.72,4,0,medium,91,51,missed opportunity
2702,m_148,p_87,during the match,right foot,24.19,-15.46,2,1,low,65,40,missed opportunity
2703,m_69,p_46,during the match,right foot,13.22,-7.73,4,1,low,32,52,goalkeeper save
2704,m_98,p_139,during the match,right foot,11.97,5.99,3,0,medium,35,5,goalkeeper save
2705,m_151,p_22,during the match,head,7.73,4.74,1,0,low,3,0,missed opportunity
2706,m_202,p_155,during the match,head,5.49,2.24,1,0,low,35,24,goal
2707,m_172,p_45,during the match,right foot,8.48,-2.99,1,0,high,41,43,goal
2708,m_8,p_32,during the match,right foot,7.48,-1.0,1,0,medium,90,58,goal
2709,m_206,p_85,during the match,head,5.99,-0.5,1,0,low,65,7,goal
2710,m_26,p_40,during the match,right foot,3.49,1.25,1,0,low,5,58,missed opportunity
2711,m_134,p_8,during the match,head,7.73,3.24,2,0,low,13,30,missed opportunity
2712,m_131,p_97,during the match,left foot,25.44,14.46,4,1,low,77,41,kick to the defense
2713,m_197,p_43,during the match,left foot,7.23,1.5,1,0,medium,8,21,goalkeeper save
2714,m_176,p_44,during the match,left foot,21.7,14.22,2,0,high,23,10,goalkeeper save
2715,m_94,p_150,during the match,right foot,12.97,6.73,1,0,medium,1,6,goalkeeper save
2716,m_185,p_59,during the match,left foot,21.7,-5.99,2,0,medium,41,50,missed opportunity
2717,m_227,p_128,during the match,head,8.48,-4.24,3,0,high,59,48,missed opportunity
2718,m_107,p_9,during the match,right foot,4.24,14.46,3,0,medium,91,40,goalkeeper save
2719,m_67,p_66,during the match,left foot,21.45,-15.96,3,1,medium,86,40,goalkeeper save
2720,m_200,p_115,during the match,left foot,10.23,6.24,1,0,low,39,57,goal
2721,m_91,p_77,during the match,right foot,23.44,2.24,3,0,medium,86,36,goal
2722,m_236,p_105,during the match,right foot,10.97,-2.99,2,0,medium,32,12,kick to the defense
2723,m_69,p_139,during the match,head,10.97,-2.74,2,0,medium,22,40,goalkeeper save
2724,m_178,p_8,penalty,right foot,10.97,0.0,1,0,low,41,57,goal
2725,m_38,p_126,during the match,right foot,23.19,1.75,4,0,high,93,35,missed opportunity
2726,m_128,p_15,during the match,right foot,18.45,15.71,3,0,medium,21,39,missed opportunity
2727,m_200,p_59,during the match,right foot,28.43,1.0,2,0,medium,40,0,missed opportunity
2728,m_214,p_116,during the match,left foot,9.98,13.47,3,0,medium,61,50,missed opportunity
2729,m_141,p_38,direct free kick,right foot,25.69,-6.48,7,2,low,42,50,missed opportunity
2730,m_172,p_138,during the match,head,3.99,3.99,2,0,low,14,0,goalkeeper save
2731,m_163,p_70,during the match,right foot,27.18,3.74,4,0,low,60,26,kick to the defense
2732,m_33,p_115,during the match,head,8.48,3.49,2,1,medium,80,44,goalkeeper save
2733,m_157,p_56,during the match,head,7.73,-0.5,1,0,medium,25,10,goalkeeper save
2734,m_206,p_36,during the match,head,10.72,6.73,1,0,medium,1,31,missed opportunity
2735,m_157,p_72,during the match,left foot,23.94,-5.99,2,0,medium,48,4,missed opportunity
2736,m_138,p_21,direct free kick,left foot,19.95,-13.47,6,3,low,30,37,goal
2737,m_39,p_90,during the match,left foot,4.74,-2.49,1,0,medium,33,42,goalkeeper save
2738,m_236,p_142,during the match,left foot,19.95,8.23,5,2,medium,43,45,goalkeeper save
2739,m_80,p_109,during the match,right foot,22.94,-7.48,3,1,medium,64,35,goalkeeper save
2740,m_73,p_128,during the match,right foot,12.72,9.98,2,0,medium,73,7,goalkeeper save
2741,m_12,p_40,during the match,right foot,22.44,-8.73,3,1,high,68,19,missed opportunity
2742,m_156,p_36,during the match,left foot,13.72,1.5,1,0,medium,20,50,goalkeeper save
2743,m_112,p_39,during the match,right foot,14.46,18.7,2,0,medium,43,33,missed opportunity
2744,m_94,p_96,during the match,other,14.46,1.75,3,0,high,16,55,kick to the defense
2745,m_140,p_39,during the match,right foot,23.94,-4.24,4,0,medium,16,42,kick to the defense
2746,m_194,p_19,during the match,left foot,22.69,-1.75,3,0,medium,24,32,kick to the crossbar
2747,m_158,p_36,during the match,right foot,28.68,2.49,2,0,low,82,28,missed opportunity
2748,m_100,p_61,during the match,right foot,13.72,17.71,2,0,low,14,3,goalkeeper save
2749,m_181,p_92,during the match,left foot,27.68,-18.45,3,1,medium,46,2,missed opportunity
2750,m_160,p_97,during the match,right foot,3.99,1.5,1,0,low,8,46,goal
2751,m_196,p_98,penalty,left foot,10.97,0.0,1,0,low,78,12,goal
2752,m_146,p_87,during the match,right foot,11.22,-3.99,2,0,low,58,17,missed opportunity
